Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
269,2022-08-15,170.01760864257812,170.21394216296972,168.21131628811554,168.3782005294128,54091700
270,2022-08-16,169.8605499267578,170.52810192661653,168.51564947224608,169.61512926108554,56377100
271,2022-08-17,171.35269165039062,172.92337473871223,169.40896440067246,169.6052979143018,79542000
272,2022-08-18,170.95999145507812,171.69625328732099,169.94885973714076,170.56732446959606,62290100
273,2022-08-19,168.37820434570312,170.55754092380556,168.1720444080825,169.86053968443733,70346300
274,2022-08-22,164.50054931640625,166.74859572706774,164.0784180378036,166.58171149389958,69026800
275,2022-08-23,164.16680908203125,165.61971039901564,163.59743126526018,164.01956265497435,54147100
276,2022-08-24,164.46127319335938,165.03065085876125,163.20472075222654,164.2551282502834,53841500
277,2022-08-25,166.91549682617188,167.0234825149317,165.26627719342727,165.68839353539587,51218200
278,2022-08-26,160.62290954589844,167.91681938586046,160.56401098389765,167.44561591056575,78961000
279,2022-08-29,158.4239501953125,159.91609703205498,156.89252766433086,158.19815240165843,73314000
280,2022-08-30,155.99920654296875,159.58234252318653,154.83100169515882,159.16022613846985,77906200
281,2022-08-31,154.3401336669922,157.63858767600124,154.2615972644816,157.3735291899389,87991100
282,2022-09-01,155.06658935546875,155.5181549609377,151.83684522830168,153.77076113952282,74229900
283,2022-09-02,152.95596313476562,157.42262194968552,152.13135334781393,156.82379496598037,76957800
284,2022-09-06,151.6993865966797,154.2124912520568,150.8747769402501,153.60385293125665,73714800
285,2022-09-07,153.10321044921875,153.80019664109167,150.7962505650505,151.98409298992328,87449600
286,2022-09-08,151.6306915283203,153.49588236025656,149.88328282837716,151.80738719524012,84923800
287,2022-09-09,154.48736572265625,154.92913481819144,151.91536244109605,152.62217501880943,68028800
288,2022-09-12,160.43638610839844,161.25118449428555,156.38204700518378,156.66672837890903,104956000
289,2022-09-13,151.0220489501953,157.59931943362142,150.56065692569356,156.97104316313002,122656600
290,2022-09-14,152.46510314941406,154.22232317214238,150.79624593389804,151.95462406702927,87965400
291,2022-09-15,149.5789794921875,152.3964188629796,148.60712326254628,151.81721471946022,90481100
292,2022-09-16,147.93955993652344,148.57766259301448,145.65223775657734,148.44022763272653,162278800
293,2022-09-19,151.6503448486328,151.7288812650201,146.368901915373,146.57504690151106,81474200
294,2022-09-20,154.02598571777344,155.1843789131033,150.2759661753886,150.5900968013731,107689800
295,2022-09-21,150.9042510986328,155.83230196535132,150.78645397951445,154.4579373320565,101696800
296,2022-09-22,149.94219970703125,151.6405063427645,148.14571882351763,149.58879338602387,86652500
297,2022-09-23,147.67449951171875,148.6954577569954,145.83875792782328,148.42058784002563,96029900
298,2022-09-26,148.00827026367188,150.95331767501642,146.898964278694,146.91860212230296,93339400
299,2022-09-27,148.9801788330078,151.88596656060932,147.20333533190674,149.94223877822546,84442700
300,2022-09-28,147.09530639648438,147.8806554147203,142.18689375661808,144.93560783080054,146691400
301,2022-09-29,139.8701171875,144.03245634378814,138.103085707034,143.4238179924611,128138200
302,2022-09-30,135.6685333251953,140.4787870882612,135.47219979960417,138.69211755301987,124925300
303,2022-10-03,139.84066772460938,140.44932105441077,135.16786446408517,135.67834355315813,114311700
304,2022-10-04,143.423828125,143.54162523892447,141.61752082886468,142.3734205948832,87830100
305,2022-10-05,143.7183074951172,144.6803670999918,140.39040452379436,141.43100052371705,79471000
306,2022-10-06,142.76612854003906,144.83747993609245,142.5599835315962,143.13917281341946,68402200
307,2022-10-07,137.52392578125,140.47880029356153,136.8956494527264,139.9290453992253,85925600
308,2022-10-10,137.84783935546875,139.2909136665795,136.03173592220895,137.84783935546875,74899000
309,2022-10-11,136.43421936035156,138.76081689569904,135.68814610919395,137.337365394685,77033700
310,2022-10-12,135.80596923828125,137.78897231294513,135.62927355780315,136.58150689181417,70433700
311,2022-10-13,140.37078857421875,140.95978909716513,131.90867508719168,132.51732843397534,113224000
312,2022-10-14,135.84524536132812,141.87277603175662,135.65872326737428,141.66661609125816,88598000
313,2022-10-17,139.80137634277344,140.28239107066204,137.70057687397076,138.48592568963068,85250900
314,2022-10-18,141.1168670654297,144.0128276023933,138.03438444661543,142.82500010106065,99136600
315,2022-10-19,141.224853515625,142.2948839097448,138.9080820775627,139.09460416043055,61758300
316,2022-10-20,140.76348876953125,143.21769564184982,140.03703814278057,140.4002709458009,64522000
317,2022-10-21,144.57240295410156,145.1417806685085,140.03701908535325,140.25299045906925,86548600
318,2022-10-24,146.71246337890625,147.47817461798252,143.3256613631015,144.49386606815804,75981900
319,2022-10-25,149.54954528808594,149.6968066869272,146.62413491177585,147.34075911907576,74732300
320,2022-10-26,146.61428833007812,149.20592954793565,145.32827166402765,148.19479776463467,88194300
321,2022-10-27,142.1476593017578,146.3198108162611,141.48993368404496,145.35776595535313,109180200
322,2022-10-28,152.8872528076172,154.61500878306214,145.11232844918345,145.4853576495381,164762400
323,2022-10-31,150.5312042236328,151.4147275390832,149.13721674827332,150.35450854811523,97943200
324,2022-11-01,147.89047241210938,152.60255171953904,146.3983256985316,152.2393339638939,80379300
325,2022-11-02,142.37344360351562,149.3826576212183,142.34399432027527,146.22163806624556,93604600
326,2022-11-03,136.33607482910156,140.18426855678922,136.20845130657773,139.45781809061094,97918500
327,2022-11-04,136.07058715820312,140.28898493787645,132.1373429796548,139.71866273149064,140814800
328,2022-11-07,136.60159301757812,136.82775039724396,133.40583154940404,134.82180210827255,83374600
329,2022-11-08,137.171875,139.06965789658196,135.19542542837,138.06669154902085,89908500
330,2022-11-09,132.619140625,136.23773265765962,132.34381476431366,136.18856411022261,74917800
331,2022-11-10,144.41888427734375,144.41888427734375,137.17188688278108,138.88285345399055,118854000
332,2022-11-11,147.20166015625,147.50648417895965,141.96061049585242,143.38642351170455,93979700
333,2022-11-14,145.80532836914062,147.77195002505474,144.96950816372413,146.4838152410922,73374100
334,2022-11-15,147.5360107421875,151.02676861885655,146.08071431905194,149.67963703147598,89868300
335,2022-11-16,146.3068389892578,147.36881668355312,144.83187247009243,146.6411761367448,64218300
336,2022-11-17,148.2046356201172,148.9519465811487,143.71089713297823,143.98622301357588,80389400
337,2022-11-18,148.76513671875,150.15160903599656,147.46717380781297,149.76811828911318,74829600
338,2022-11-21,145.53985595703125,147.86047052115927,145.25470236836378,147.65398361312236,58724100
339,2022-11-22,147.67364501953125,147.9096450709946,144.47788413446048,145.65786938764137,51804100
340,2022-11-23,148.54881286621094,149.29612388958984,146.84767388557262,146.95583870512687,58301400
341,2022-11-25,145.63821411132812,146.3953678932279,144.66473067745702,145.83487333926465,35195900
342,2022-11-28,141.8131103515625,144.19272111621666,140.9871327315936,142.7177546502144,69246000
343,2022-11-29,138.8140106201172,142.39326202258005,138.00770341068628,141.8819361067611,83763800
344,2022-11-30,145.5595245361328,146.23801151936658,138.20436253781247,139.04016787618127,111380900
345,2022-12-01,145.8348846435547,146.64120704597443,144.16325857031342,145.73656252403373,71250400
346,2022-12-02,145.34323120117188,145.53006273642814,143.21927533321448,143.52411441944975,65447400
347,2022-12-05,144.18289184570312,148.40128929094377,143.3372438141924,145.30386574755366,68826400
348,2022-12-06,140.52499389648438,144.8417290558683,139.55151049910586,144.61557170242608,64727200
349,2022-12-07,138.58787536621094,140.97731424983792,137.66356048798676,139.8170142991394,69721100
350,2022-12-08,140.26931762695312,141.12480845757423,138.7451974772698,139.9841640195035,62128300
351,2022-12-09,139.78753662109375,143.14063172179561,138.54855479274573,139.96452545134943,76097000
352,2022-12-12,142.07862854003906,142.08845624970894,138.70586361029962,140.31849324023466,70462700
353,2022-12-13,143.042236328125,147.467135331872,141.83276813492486,147.00497801337218,93886200
354,2022-12-14,140.8199920654297,144.21241242784126,138.80420126905452,142.92427726159215,82291200
355,2022-12-15,134.22195434570312,139.43350575702271,133.7597969655739,138.75501875197617,98931900
356,2022-12-16,132.26515197753906,135.35274779526193,131.49817062820333,134.4087776749108,160156900
357,2022-12-19,130.160888671875,132.94366095306307,129.12842399506934,132.85516655290323,79592600
358,2022-12-20,130.09205627441406,131.0261987808424,127.72227301817315,129.19723960857664,77432800
359,2022-12-21,133.18946838378906,134.52677190815584,130.53453175568677,130.76068907847488,85928000
360,2022-12-22,130.02320861816406,132.31432503613755,128.1254256005218,132.10783812958184,77852100
361,2022-12-23,129.65940856933594,130.21006041152802,127.47645662054781,128.7350936895975,63814900
362,2022-12-27,127.85993957519531,129.21691367798962,126.57180445054807,129.18741554567987,69007800
363,2022-12-28,123.93651580810547,128.84323545768694,123.76935474336571,127.50593193563417,85438400
364,2022-12-29,127.44694519042969,128.30242099857716,125.59832312588058,125.8539785961876,75703700
365,2022-12-30,127.7615966796875,127.78126710171549,125.30332657301084,126.26697469654857,77034200
